headline,preprocessed_headline,date_std,source
Medicinal cannabis users cautiously welcome move to loosen importation laws,"['Medicinal', 'cannabis', 'user', 'cautiously', 'welcome', 'move', 'loosen', 'importation', 'law']",2017-02-21,headline
Medicinal cannabis farm begins production vowing a duty of care to Australian patients,"['Medicinal', 'cannabis', 'farm', 'begin', 'production', 'vowing', 'duty', 'care', 'Australian', 'patient']",2018-11-07,headline
Medicinal cannabis cultivation research to be spearheaded at New South Wales facility,"['Medicinal', 'cannabis', 'cultivation', 'research', 'spearheaded', 'New', 'South', 'Wales', 'facility']",2016-07-24,headline
"Debate over the IR omnibus bill, over the counter medicinal cannabis, and what to do about screaming neighbours","['Debate', 'IR', 'omnibus', 'bill', ',', 'counter', 'medicinal', 'cannabis', ',', 'screaming', 'neighbour']",2021-02-04,headline
Federal Government to legalise growing of medicinal cannabis; Labor calls for nationwide scheme,"['Federal', 'Government', 'legalise', 'growing', 'medicinal', 'cannabis', ';', 'Labor', 'call', 'nationwide', 'scheme']",2015-10-16,headline
Medicinal cannabis access still challenging for regional patients in wake of Government's export push,"['Medicinal', 'cannabis', 'access', 'still', 'challenging', 'regional', 'patient', 'wake', 'Government', ""'s"", 'export', 'push']",2018-01-04,headline
"Secrecy, security paramount as Queensland's first licensed medicinal cannabis farm nears completion","['Secrecy', ',', 'security', 'paramount', 'Queensland', ""'s"", 'first', 'licensed', 'medicinal', 'cannabis', 'farm', 'nears', 'completion']",2018-01-08,headline
Medicinal cannabis scheme in Tasmania has families waiting as $10m facility opens,"['Medicinal', 'cannabis', 'scheme', 'Tasmania', 'family', 'waiting', '$', '10m', 'facility', 'open']",2020-08-14,headline
Australia aims for global domination of medicinal cannabis market,"['Australia', 'aim', 'global', 'domination', 'medicinal', 'cannabis', 'market']",2018-01-03,headline
Medicinal cannabis trial offers 'light at the end of the tunnel' for young veteran with crippling PTSD,"['Medicinal', 'cannabis', 'trial', 'offer', ""'light"", 'end', 'tunnel', ""'"", 'young', 'veteran', 'crippling', 'PTSD']",2019-06-13,headline
Medicinal cannabis: Tas Government rejects call to decriminalise drug for medical use,"['Medicinal', 'cannabis', ':', 'Tas', 'Government', 'reject', 'call', 'decriminalise', 'drug', 'medical', 'use']",2014-11-20,headline
Medicinal cannabis in Tasmania: Everything you need to know about the state's rules,"['Medicinal', 'cannabis', 'Tasmania', ':', 'Everything', 'need', 'know', 'state', ""'s"", 'rule']",2017-07-12,headline
Medicinal cannabis producer and advocate Tony Bower avoids jail for cultivating a commercial quantity of a prohibited drug,"['Medicinal', 'cannabis', 'producer', 'advocate', 'Tony', 'Bower', 'avoids', 'jail', 'cultivating', 'commercial', 'quantity', 'prohibited', 'drug']",2019-03-04,headline
Medicinal cannabis advocate successfully appeals prison sentence,"['Medicinal', 'cannabis', 'advocate', 'successfully', 'appeal', 'prison', 'sentence']",2014-10-07,headline
It’s been seven years since medicinal cannabis was legalised. Is access now 'too easy'?,"['It', '’', 'seven', 'year', 'since', 'medicinal', 'cannabis', 'legalised', '.', 'Is', 'access', ""'too"", 'easy', ""'"", '?']",2023-02-25,headline
Sydney family donates $33m to medicinal cannabis research,"['Sydney', 'family', 'donates', '$', '33m', 'medicinal', 'cannabis', 'research']",2015-06-12,headline
New Zealand legalises medicinal cannabis,"['New', 'Zealand', 'legalises', 'medicinal', 'cannabis']",2018-12-11,headline
Medical cannabis sparked One Nation jump,"['Medical', 'cannabis', 'sparked', 'One', 'Nation', 'jump']",2017-01-13,headline
Medicinal cannabis industry sprouts in Vic,"['Medicinal', 'cannabis', 'industry', 'sprout', 'Vic']",2019-01-28,headline
SA looks to economic benefits of medicinal cannabis production,"['SA', 'look', 'economic', 'benefit', 'medicinal', 'cannabis', 'production']",2017-02-02,headline
Medicinal marijuana: How do we get it to those who need it?,"['Medicinal', 'marijuana', ':', 'How', 'get', 'need', '?']",2016-11-02,headline
Growth of medicinal cannabis to be legalised in Australia,"['Growth', 'medicinal', 'cannabis', 'legalised', 'Australia']",2015-10-17,headline
Medicinal cannabis available in NSW,"['Medicinal', 'cannabis', 'available', 'NSW']",2016-07-31,headline
Medicinal cannabis laws passed in Qld,"['Medicinal', 'cannabis', 'law', 'passed', 'Qld']",2016-10-13,headline
SA MPs meet on medicinal cannabis,"['SA', 'MPs', 'meet', 'medicinal', 'cannabis']",2017-03-03,headline
AusCann in medicinal cannabis alliance,"['AusCann', 'medicinal', 'cannabis', 'alliance']",2016-05-10,headline
Australia expected to become world's top medicinal cannabis supplier: health minister,"['Australia', 'expected', 'become', 'world', ""'s"", 'top', 'medicinal', 'cannabis', 'supplier', ':', 'health', 'minister']",2018-01-04,headline
"Australia’s medical cannabis industry set to boom, new report finds","['Australia', '’', 'medical', 'cannabis', 'industry', 'set', 'boom', ',', 'new', 'report', 'find']",2018-10-29,headline
Medicinal cannabis developer lists on ASX,"['Medicinal', 'cannabis', 'developer', 'list', 'ASX']",2016-10-20,headline
Whoopi Goldberg launches line of medicinal marijuana products for period pain,"['Whoopi', 'Goldberg', 'launch', 'line', 'medicinal', 'marijuana', 'product', 'period', 'pain']",2016-03-31,headline
"Vic to grow, supply medicinal cannabis","['Vic', 'grow', ',', 'supply', 'medicinal', 'cannabis']",2015-09-11,headline
30 more children in Victoria to be treated with medicinal cannabis,"['30', 'child', 'Victoria', 'treated', 'medicinal', 'cannabis']",2019-10-13,headline
Newton-John backs medicinal cannabis,"['Newton-John', 'back', 'medicinal', 'cannabis']",2017-09-03,headline
Patients sceptical as government opens door for medicinal cannabis imports,"['Patients', 'sceptical', 'government', 'open', 'door', 'medicinal', 'cannabis', 'import']",2017-02-22,headline
Germany OKs medicinal cannabis,"['Germany', 'OKs', 'medicinal', 'cannabis']",2016-05-04,headline
Medicinal cannabis crops now legal in Aust,"['Medicinal', 'cannabis', 'crop', 'legal', 'Aust']",2016-10-30,headline
Doctors concerned over Senate bill lifting medicinal cannabis restrictions,"['Doctors', 'concerned', 'Senate', 'bill', 'lifting', 'medicinal', 'cannabis', 'restriction']",2017-06-14,headline
New medicinal cannabis laws 'just the first step',"['New', 'medicinal', 'cannabis', 'law', ""'just"", 'first', 'step', ""'""]",2016-02-09,headline
Secret Vic lab growing medicinal cannabis,"['Secret', 'Vic', 'lab', 'growing', 'medicinal', 'cannabis']",2016-04-19,headline
Spotlight to be placed on barriers to medicinal cannabis in Australia,"['Spotlight', 'placed', 'barrier', 'medicinal', 'cannabis', 'Australia']",2019-11-15,headline
Concerns over medicinal cannabis use,"['Concerns', 'medicinal', 'cannabis', 'use']",2015-03-30,headline
Women with endometriosis are turning to cannabis to ease their pain,"['Women', 'endometriosis', 'turning', 'cannabis', 'ease', 'pain']",2019-11-12,headline
Australia's first medicinal cannabis trial to begin in Newcastle next year,"['Australia', ""'s"", 'first', 'medicinal', 'cannabis', 'trial', 'begin', 'Newcastle', 'next', 'year']",2015-07-27,headline
GPs in the dark about medicinal cannabis,"['GPs', 'dark', 'medicinal', 'cannabis']",2018-07-04,headline
PM rules out medicinal cannabis amnesty,"['PM', 'rule', 'medicinal', 'cannabis', 'amnesty']",2017-01-17,headline
Medicinal cannabis bill passes Senate,"['Medicinal', 'cannabis', 'bill', 'pass', 'Senate']",2017-10-19,headline
Medicinal cannabis treats Dravet syndrome,"['Medicinal', 'cannabis', 'treat', 'Dravet', 'syndrome']",2017-05-25,headline
Medicinal marijuana to be legalised in Victoria,"['Medicinal', 'marijuana', 'legalised', 'Victoria']",2015-10-06,headline
NSW improves medicinal cannabis access,"['NSW', 'improves', 'medicinal', 'cannabis', 'access']",2018-03-02,headline
Qld gets medicinal cannabis guidelines,"['Qld', 'get', 'medicinal', 'cannabis', 'guideline']",2017-01-26,headline
Plans for medicinal cannabis hub in Qld,"['Plans', 'medicinal', 'cannabis', 'hub', 'Qld']",2018-04-30,headline
Victoria moves closer to medicinal cannabis use,"['Victoria', 'move', 'closer', 'medicinal', 'cannabis', 'use']",2015-10-08,headline
Qld moves to legalise medicinal cannabis,"['Qld', 'move', 'legalise', 'medicinal', 'cannabis']",2016-05-10,headline
Access to medicinal cannabis to get easier,"['Access', 'medicinal', 'cannabis', 'get', 'easier']",2017-02-22,headline
Medicinal cannabis forum set for Brisbane,"['Medicinal', 'cannabis', 'forum', 'set', 'Brisbane']",2017-10-26,headline
Cannabis supplier's shares high after IPO,"['Cannabis', 'supplier', ""'s"", 'share', 'high', 'IPO']",2018-09-21,headline
Victoria makes medicinal cannabis legal in historic move,"['Victoria', 'make', 'medicinal', 'cannabis', 'legal', 'historic', 'move']",2016-04-12,headline
Senate scraps rules on medicinal cannabis,"['Senate', 'scrap', 'rule', 'medicinal', 'cannabis']",2017-06-13,headline
WA govt's medicinal cannabis move welcomed,"['WA', 'govt', ""'s"", 'medicinal', 'cannabis', 'move', 'welcomed']",2016-10-28,headline
McGowan to discuss medicinal cannabis,"['McGowan', 'discus', 'medicinal', 'cannabis']",2017-05-21,headline
NSW government rejects medicinal cannabis,"['NSW', 'government', 'reject', 'medicinal', 'cannabis']",2013-11-16,headline
Momentum growing for medicinal cannabis,"['Momentum', 'growing', 'medicinal', 'cannabis']",2014-07-23,headline
"Tas, NSW govts to study medicinal cannabis","['Tas', ',', 'NSW', 'govts', 'study', 'medicinal', 'cannabis']",2015-12-10,headline
Medicinal cannabis bill introduced in Vic,"['Medicinal', 'cannabis', 'bill', 'introduced', 'Vic']",2015-12-08,headline
First medicinal cannabis shipments arrive,"['First', 'medicinal', 'cannabis', 'shipment', 'arrive']",2017-05-03,headline
Vic makes medicinal cannabis legal,"['Vic', 'make', 'medicinal', 'cannabis', 'legal']",2016-04-13,headline
New study examines medicinal cannabis treatment for people with autism,"['New', 'study', 'examines', 'medicinal', 'cannabis', 'treatment', 'people', 'autism']",2022-11-19,headline
Vic to lead nation on medicinal cannabis,"['Vic', 'lead', 'nation', 'medicinal', 'cannabis']",2015-10-07,headline
Dickson praises medicinal cannabis change,"['Dickson', 'praise', 'medicinal', 'cannabis', 'change']",2017-02-22,headline
Possible growing of Medicinal Cannabis?,"['Possible', 'growing', 'Medicinal', 'Cannabis', '?']",2016-04-02,headline
‘We were desperate’: Family turns to black market for medical cannabis,"['‘', 'We', 'desperate', '’', ':', 'Family', 'turn', 'black', 'market', 'medical', 'cannabis']",2018-09-17,headline
UK boy with severe epilepsy gets go ahead to use medicinal cannabis,"['UK', 'boy', 'severe', 'epilepsy', 'get', 'go', 'ahead', 'use', 'medicinal', 'cannabis']",2018-06-16,headline
Comment: It's time to legislate in favour of medicinal cannabis,"['Comment', ':', 'It', ""'s"", 'time', 'legislate', 'favour', 'medicinal', 'cannabis']",2014-10-03,headline
First licence given for medicinal cannabis,"['First', 'licence', 'given', 'medicinal', 'cannabis']",2017-03-08,headline
‘I no longer had any pain’: How a once-illicit drug allowed cancer patient Vae to live pain-free.,"['‘', 'I', 'longer', 'pain', '’', ':', 'How', 'once-illicit', 'drug', 'allowed', 'cancer', 'patient', 'Vae', 'live', 'pain-free', '.']",2022-05-11,headline
